"Front";"Back";"Tags";"Difficulty";"Source"
"Define Cauchy-Folge (Def 2.4.8).";"Eine Folge ( an)n\inN heißt Cauchy-Folge (CF), wenn gilt: Zu jedem \varepsilon > 0 gibt es n0 = n0(\varepsilon) \in N mit | am − an| < \varepsilon für alle n, m \ge n0. Locker ausgedrückt bedeutet dies, dass die Folgenglieder i mmer dichter zusammenrücken.\n\nIntuition: This definition gives precise language for the topic of accumulation values, subsequences, bolzano-weierstrass, limsup/liminf, and the cauchy criterion.";"definition sec-2-4 ch-2";"1";"PDF p48; section 2.4. Der Satz von Bolzano-Weierstraß und das Cauchy-Kriterium"
"State Satz 2.4.9: Cauchy-Kriterium.";"A real sequence converges if and only if it is a Cauchy sequence.\n\nUse: Central for convergence proofs where the candidate limit is unknown.";"satz sec-2-4 ch-2 high-yield cauchy kriterium";"4";"PDF p48; section 2.4. Der Satz von Bolzano-Weierstraß und das Cauchy-Kriterium"
"Define unbestimmt divergent (Def 2.5.1).";"Wir sagen, eine Folge ( an) divergiere oder strebe gegen \infty wenn es zu jedem M > 0 ein n0 \in N gibt, sodass für alle n \ge n0 gilt: an > M. Wir schreiben limn→\infty an = \infty oder an → \infty , n → \infty . Wir sagen, eine Folge ( an) divergiere oder strebe gegen −\infty wenn es zu jedem M < 0 ein n0 \in N gibt, so dass für alle n \ge n0 gilt: an < M. Wir schreiben limn→\infty an = −\infty oder an → −\infty , n → \infty . Wenn entweder an → \infty oder an → −\infty gilt, nennen wir die Folge ( an) bestimmt divergent, und die Sym- bole \infty („plus Unendlich“) bzw . −\infty („minus Unendlich“) werden gelegentlich als uneigentlich e Grenz- werte von ( an) bezeichnet. Eine divergente Folge die nicht bestimmt dive rgent ist, heißt unbestimmt divergent.\n\nIntuition: This definition gives precise language for the topic of improper limits and the extended real line.";"definition sec-2-5 ch-2";"1";"PDF p49; section 2.5. Uneigentliche Grenzwerte"
"What pattern is shown in Beispiel 2.5.2?";"Improper limits and the extended real line.\n\nSource: (i) Ist an > 0 (bzw .< 0) und an → 0, n → \infty , so gilt 1 an → \infty (bzw .−\infty ).";"beispiel sec-2-5 ch-2";"2";"PDF p49; section 2.5. Uneigentliche Grenzwerte"
"Define die erweiterte Zahlengerade (Def 2.5.3).";"(i) Wir definieren R = R\cup {−\infty ,+\infty }, wobei −\infty \notin R, +\infty \notin R zwei (ideale) Elemente sind. R heißt die erweiterte Zahlengerade. Wir erweitern die Ordnungsrelation in R auf R durch −\infty < x < \infty für alle x \in R . Weiterhin definieren wir: \infty + \infty := \infty , (−\infty ) + (−\infty ) := −\infty , ±\infty + x = x + (±\infty ) := ±\infty für x \in R sowie ±\infty · x = x ·(±\infty ) := { ±\infty für x > 0, x \in R ∓\infty für x < 0, x \in R und x ±\infty := 0 für x \in R. Anbei ist eine Übersicht der Definitionen der Operationen mi t ±\infty : (2.8) + a \in R \infty −\infty b \in R a + b +\infty −\infty +\infty +\infty +\infty ∗ −\infty −\infty ∗ −\infty und · a > 0 0 a < 0 +\infty −\infty b > 0 a ·b 0 a ·b +\infty −\infty 0 0 0 0 ∗ ∗ b < 0 a ·b 0 a ·b −\infty +\infty +\infty +\infty ∗ −\infty +\infty −\infty −\infty −\infty ∗ +\infty −\infty +\infty Hierbei bedeutet ∗ , dass die Addition bzw . die Multiplikation nicht definiert i st, d.h. wir haben \infty + (−\infty ) und (−\infty ) + \infty nicht definiert und wir haben auch 0 ·(±\infty ) nicht definiert (siehe die Bemerkung unten). Die Regel für die Multiplikation kann man kurz auch so sc…\n\nIntuition: This definition gives precise language for the topic of improper limits and the extended real line.";"definition sec-2-5 ch-2";"1";"PDF p50; section 2.5. Uneigentliche Grenzwerte"
"State Satz 2.5.4: 2.5. Uneigentliche Grenzwerte.";"Die Rechenregeln für Grenzwerte aus Satz 2.2.2, das Verglei chsprinzip Satz 2.2.3, das Korollar 2.2.4 und das Einschließungsprinzip Satz 2.2.5 gelten auch für Folgen in R mit Grenzwerten in R, falls die auftretenden Operationen definiert sind. Konkret bedeutet das zum Beispiel: an → \infty \Rightarrow 1 an → 1 \infty = 0 an → \infty , bn → b > 0 \Rightarrow anbn → \infty · b = \infty \forall n : an ≤ bn, an → \infty \Rightarrow bn → \infty .\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-2-5 ch-2";"3";"PDF p50; section 2.5. Uneigentliche Grenzwerte"
"Define konvergent (Def 2.6.1).";"(i) Eine Folge ( an)n\inN in C heißt konvergent, wenn es a \in C gibt mit der Eigenschaft: Zu jedem \varepsilon > 0 gibt es n0 = n0(\varepsilon) \in N, so dass für alle n \in N mit n \ge n0 gilt: | an − a| < \varepsilon. Eine Zahl a \in C wie in der Definition heißt Grenzwert oder Limes der Folge. Wir schreiben limn→\infty an = lim an = a, oder an → a für n → \infty und sagen, dass ( an)n\inN gegen a konvergiert. (ii) Eine nicht konvergente Folge heißt divergent. Sei a \in C, \varepsilon> 0. Die Menge B\varepsilon(a) = {z \in C : | z − a| < \varepsilon} heißt \varepsilon-Umgebung von a. Jede Teilmenge U \subset C, zu der es ein \varepsilon > 0 mit B\varepsilon(a) \subset U gibt, heißt Umgebung von a. Umformulierung der Definition 2.6.1 der Konvergenz: limn→\infty an = a \Longleftrightarrow Zu jeder Umgebung U von a gibt es n0 = n0(U) \in N, so dass für alle n \ge n0 gilt: an \in U.\n\nIntuition: This definition gives precise language for the topic of complex sequences and reduction to real and imaginary parts.";"definition sec-2-6 ch-2";"1";"PDF p52; section 2.6. Folgen komplexer Zahlen"
"What pattern is shown in Beispiel 2.6.2?";"Complex sequences and reduction to real and imaginary parts.\n\nSource: (i) Ist z \in C, | z| < 1, so gilt zn → 0, n → \infty . (ii) Ist z \in C, | z| < 1, so gilt 1 + z + . . .+ zn → 1 1 − z , n → \infty .";"beispiel sec-2-6 ch-2";"2";"PDF p52; section 2.6. Folgen komplexer Zahlen"
"State Satz 2.6.3: 2.6. Folgen komplexer Zahlen.";"Sei (an)n\inN Folge in C. Dann ist (an)n\inN konvergent genau dann, wenn (Re an)n\inN und (Im an)n\inN konvergent sind. In diesem Fall gilt: limn→\infty an = limn→\infty Re an + i limn→\infty Im an .\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-2-6 ch-2";"3";"PDF p52; section 2.6. Folgen komplexer Zahlen"
"State Satz 2.6.4: Rechenregeln.";"Die Rechenregeln für konvergente Folgen gelten auch für Fol gen und Reihen komplexer Zahlen.\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-2-6 ch-2 rechenregeln";"3";"PDF p53; section 2.6. Folgen komplexer Zahlen"
"Define unnamed definition in 2.6 (Def 2.6.5).";"Die Definitionen von beschränkten Folgen, von Häufungswert en in C und Cauchy- Folgen übertragen sich wörtlich aus der jeweiligen reellen Version (Definitionen 2.1.6, 2.4.1, 2.4.8).\n\nIntuition: This definition gives precise language for the topic of complex sequences and reduction to real and imaginary parts.";"definition sec-2-6 ch-2";"1";"PDF p53; section 2.6. Folgen komplexer Zahlen"
"State Satz 2.6.6: Cauchy-Kriterium in C.";"Eine Folge in C konvergiert genau dann, wenn sie eine Cauchy-Folge ist.\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-2-6 ch-2 cauchy kriterium in";"3";"PDF p53; section 2.6. Folgen komplexer Zahlen"
"State Satz 2.6.7: Bolzano-Weierstraß in C.";"Jede beschränkte Folge in C besitzt einen Häufungswert.\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-2-6 ch-2 bolzano weierstraß in";"3";"PDF p53; section 2.6. Folgen komplexer Zahlen"
"Define die erweiterte Zahlenebene (Def 2.6.8).";"(i) Wir ergänzen C durch ein (ideales) Element \infty \notin C und setzten C = C \cup {\infty }. Die Menge C heißt die erweiterte Zahlenebene . Geometrisch handelt es sich um die Menge, die sich aus der Hi nzunahme eines Punktes in der Unendlichkeit zu der komplexen Ebene er gibt. (ii) Eine Menge U \subset C heißt Umgebung von \infty in C , wenn es M > 0 gibt, so dass U \supset {| z| > M}. (iii) Eine Folge ( an)n\inN in C konvergiert in C gegen \infty : \Longleftrightarrow Für jede Umgebung U von \infty gilt an \in U für fast alle n \in N, \Longleftrightarrow limn→\infty | an| = \infty . Schreibweise: an \to \infty oder lim n→\infty an = \infty in C.\n\nIntuition: This definition gives precise language for the topic of complex sequences and reduction to real and imaginary parts.";"definition sec-2-6 ch-2";"1";"PDF p53; section 2.6. Folgen komplexer Zahlen"
"What pattern is shown in Beispiel 2.6.9?";"Complex sequences and reduction to real and imaginary parts.\n\nSource: (i) Ist z \in C, | z| > 1, so gilt zn → \infty \in C, n → \infty . (ii) Vorsicht: Falls a < − 1, dann an \to \infty \in C, aber ( an) ist unbestimmt divergent in R (siehe Definition 2.5.3(v) und Beispiel 2.5.2(4)). Wenn aber eine Folge ( an)n\inN in R gegen \infty \in R oder −\infty \in R konvergiert, dann konver- giert sie auch in C gegen \infty \in C. Wenn aber eine Folge ( an)n\inN in R gegen \infty \in R oder −\infty \in R divergiert, dann divergiert sie auch gegen \infty \in C. Ein Modell…";"beispiel sec-2-6 ch-2";"2";"PDF p53; section 2.6. Folgen komplexer Zahlen"
"Define Reihe (Def 3.1.1).";"(i) Sei ( an)n\geq eine Folge in C. Dazu definiere ( sn)n\geq durch sq = aq, sq+ 1 = aq + aq+ 1, . . . ,sn = \sumn j= q a j. Das Folgenpaar (( an)n\geq,(sn)n\geq) heißt Reihe mit Gliedern an und wird mit \sum n\geq an bezeichnet. Die Zahl sn heißt n-te Partialsumme der Reihe. (ii) \sum n\geq an heißt konvergent, wenn ( sn)n\geq konvergent ist. Gilt sn \to s \in C, so schreibt man s = \infty\sum n= q an = limn→\infty n\sum k= q ak . Die Zahl s heißt die Summe der Reihe. (iii) Eine nicht konvergente Reihe heißt divergent. Sind die an reell, und gilt sn \to \infty (bzw .−\infty ), so ist\sum n\geq an bestimmt divergent mit \sum\infty n= q an = \infty (bzw .−\infty ). 3.1.2. Beispiele. (i) Die geometrische Reihe 1 + z + z2 + . . .= \sum n\ge0 zn mit z \in C. Für z ̸= 1 gilt sn = 1 + z + z2 + . . .+ zn = 1 − zn+ 1 1 − z . Für | z| < 1 ist lim n→\infty zn+ 1 = 0, also \sum\infty n= 0 zn = 1 1 − z . (ii) Die folgende Reihe ist eine Teleskopreihe: \sum n\ge1 1 n(n + 1) = 1 1 ·2 + 1 2 ·3 + 1 3 ·4 + . . . Das sieht man so: Man verwendet 1 k − 1 k + 1 = (k + 1) − k k(k + 1) = 1 k(k + 1) . Damit ergibt sich sn = (1 1 − 1 2 ) + (1 2 − 1 3 ) + (1 3 − 1 4 ) + · · · + ( 1 n − 1 n + 1 ) = 1 − 1 n…\n\nIntuition: This definition gives precise language for the topic of series as limits of partial sums.";"definition sec-3-1 ch-3";"1";"PDF p57; section 3.1. Definitionen und Beispiele"
"State Satz 3.1.3: Rechenregeln.";"Sind \sum n≥ 0 an, \sum n≥ 0 bn konvergente Reihen mit komplexen Gliedern und \sum\infty n= 0 an = a, \sum\infty n= 0 bn = b, so sind auch \sum n≥ 0(\lambdaan + μ bn) für beliebig gewählte \lambda, μ \in C, sowie \sum n≥ 0 Re(an), \sum n≥ 0 Im(an),\sum n≥ 0 an konvergent und es gilt: Dann gilt: (i) \sum\infty n= 0(\lambdaan + μ bn) = \lambdaa + μ b, (ii) \sum\infty n= 0 Re(an) = Re a, \sum\infty n= 0 Im(an) = Im a, (iii) \sum\infty n= 0 an = a.\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-3-1 ch-3 rechenregeln";"3";"PDF p58; section 3.1. Definitionen und Beispiele"
"State Satz 3.2.1: Monotoniekriterium.";"Sei \sum n\geq an mit an \ge 0 für alle n \in N. Dann ist \sum n\geq an konvergent genau dann, wenn die Folge (sn) beschränkt ist.\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-3-2 ch-3 monotoniekriterium";"3";"PDF p58; section 3.2. Konvergenzkriterien"
"What pattern is shown in Beispiel 3.2.2?";"Convergence criteria for series, including Cauchy-type and comparison ideas.\n\nSource: Sei s \in Q, s > 1 und an = 1 ns > 0 für n \ge 1. Dann gilt sn \le 1 1− ( 1 2 )s− 1 . Aus dem Monotoniekriterium folgt, dass \sum n\ge1 1 ns konvergiert. Die Funktion (3.1) \infty\sum n= 1 1 ns = : ζ(s) heißt die Riemannsche Zeta-Funktion. Sei s \in Q, s \le 1. Aus 1 ns \ge 1 n und \sum\infty n= 1 1 n = \infty folgt nach dem Minorantenkriterium \sum\infty n= 1 1 ns = \infty . Die Zeta- Funktion ist also auf (1 ,\infty ) definiert.";"beispiel sec-3-2 ch-3";"2";"PDF p58; section 3.2. Konvergenzkriterien"
"State Satz 3.2.3: Cauchy-Kriterium für Reihen.";"A series $\sum a_n$ converges iff its tails $\sum_{k=m+1}^n a_k$ become arbitrarily small.\n\nUse: Basis of many convergence tests.";"satz sec-3-2 ch-3 high-yield cauchy kriterium für";"4";"PDF p58; section 3.2. Konvergenzkriterien"
"State Folgerung 3.2.4: 3.2. Konvergenzkriterien.";"(i) \sum n\ge0 an konvergent ⇒ limn→\infty an = 0. (Notwendiges Kriterium für Konvergenz) (ii) Das Ändern endlich vieler an ändert nicht das Konvergenzverhalten von \sum n\ge0 an (wohl aber ggf. die Summe).\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"folgerung sec-3-2 ch-3";"3";"PDF p58; section 3.2. Konvergenzkriterien"
"State Satz 3.2.5: Majorantenkriterium.";"Ist | an| \le bn für alle n \ge q und konvergiert \sum n\geq bn, so konvergieren auch \sum n\geq | an| und \sum n\geq an, und es gilt: ⏐ ⏐ \infty\sum n= q an ⏐ ⏐ \le \infty\sum n= q | an| \le \infty\sum n= q bn. Die Reihe \sum n\geq bn heißt Majorante für \sum n\geq an. Beispiel: Sei an \le 1 für alle n \in N0; z \in C, | z| < 1 ⇒ \sum n\ge0 zn ist Majorante von \suman zn ⇒ \sum n\ge0 an zn konvergiert und | \sum\infty n= 0 an zn| \le \sum\infty n= 0 | z| n = 1 1−| z| . ANALYSIS I-III, 2011/2013 57\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-3-2 ch-3 majorantenkriterium";"3";"PDF p58; section 3.2. Konvergenzkriterien"
"State Folgerung 3.2.6: Minorantenkriterium.";"Wenn an \le bn für alle n \ge q und \sum\infty n= q an = \infty , dann \sum\infty n= q bn = \infty . Eine Reihe der Form \sum n\ge0(− 1)nan oder \sum n\ge0(− 1)n+ 1an mit an > 0 heißt alternierend. Die Glieder haben abwechselndes Vorzeichen.\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"folgerung sec-3-2 ch-3 minorantenkriterium";"3";"PDF p59; section 3.2. Konvergenzkriterien"
"State Satz 3.2.7: Leibniz-Kriterium.";"Sei (an) eine monoton fallende Nullfolge. Dann ist die Reihe\sum n\ge0(− 1)nan = a0 − a1 + a2 + . . .konvergent gegen s \in R. Restabschätzung: | s − sn | = | \sum\infty k= n+ 1(− 1)kak| \le an+ 1 für alle n \ge 0. Zusatz: ([s2k+ 1, s2k])k\ge0 bildet eine Intervallschachtelung mit \cap k\ge0[s2k+ 1, s2k] = {s}, d.h. (s2k)k\ge0 bildet eine monoton fallende Folge, (s2k+ 1)k\ge0 bildet eine monoton wachsende Folge und beide konvergieren gegen s; es gilt s1 \le s3 \le . . .\le s \le . . .\le s2 \le s0.\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-3-2 ch-3 leibniz kriterium";"3";"PDF p59; section 3.2. Konvergenzkriterien"
"What pattern is shown in Beispiel 3.2.8?";"Convergence criteria for series, including Cauchy-type and comparison ideas.\n\nSource: Die alternierende harmonische Reihe \sum n\ge1 (− 1)n+ 1 n ist konvergent. Ihre Summe ist log 2 (siehe (??)). 3.3. Absolute Konvergenz.";"beispiel sec-3-2 ch-3";"2";"PDF p59; section 3.2. Konvergenzkriterien"
"Define Absolute Konvergenz (Def 3.3.1).";"$\sum a_n$ is absolutely convergent if $\sum |a_n|$ converges.\n\nIntuition: The series converges even after removing all cancellation.";"definition sec-3-3 ch-3 high-yield";"2";"PDF p59; section 3.3. Absolute Konvergenz"
"State Satz 3.3.3: Wurzelkriterium.";"(i) Ist l = lim sup n\sqrt| an| < 1, so konvergiert \suman absolut. (ii) Ist n\sqrt| an| \ge 1 für unendlich viele n (das tritt auf z.B. wenn l > 1), so ist \suman divergent.\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-3-3 ch-3 wurzelkriterium";"3";"PDF p59; section 3.3. Absolute Konvergenz"
"State Satz 3.3.4: Quotientenkriterium.";"Es gelte an ̸= 0 für fast alle n \in N. (i) Ist l = lim sup an+ 1 an < 1, so ist \suman absolut konvergent. (i) Ist an+ 1 an \ge 1, für fast alle n \in N, so ist \suman divergent.\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-3-3 ch-3 quotientenkriterium";"3";"PDF p59; section 3.3. Absolute Konvergenz"
"What pattern is shown in Beispiel 3.3.5?";"Absolute convergence, product rules, exponential series, and related identities.\n\nSource: (i) Die Reihe (3.2) \sum n\ge0 zn n! heißt Exponentialreihe. Es gilt an = zn n! ·Für z ̸= 0 ist an ̸= 0 und an+ 1 an = z n → 0, n → \infty also konvergiert die Exponentialreihe. Sie konvergiert offensichtlich auc h für z = 0. Die Summe der Exponentialreihe wird Exponentialfunktion und wird bezeichnet durch (3.3) exp : C → C , exp(z) := \infty\sum n= 0 zn n! · Es gilt (3.4) exp(0) = 1 , exp(1) = \infty\sum n= 0 1 n! = e . ANALYSIS I-III, 2011/2013 58 wobei die zweite Gleichcheit aus Beispiel 3.1…";"beispiel sec-3-3 ch-3";"2";"PDF p59; section 3.3. Absolute Konvergenz"
"State Satz 3.3.6: Cauchy-Produkt.";"Seien \sum k\ge0 ak und \sum k\ge0 bk absolut konvergent. Setze cn = n\sum k= 0 ak bn− k = a0bn + a1bn− 1 + . . .+ anb0 . Dann ist \sum n\ge0 cn absolut konvergent, und \infty\sum n= 0 cn = ( \infty\sum k= 0 ak )( \infty\sum k= 0 bk ) .\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-3-3 ch-3 cauchy produkt";"3";"PDF p60; section 3.3. Absolute Konvergenz"
"State Satz 3.3.8: 3.3. Absolute Konvergenz.";"Es gilt exp(r) = er für alle r \in Q.\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-3-3 ch-3";"3";"PDF p61; section 3.3. Absolute Konvergenz"
"Define unnamed definition in 3.3 (Def 3.3.9).";"Die komplexen Potenzen ez mit z \in C sind definiert durch (3.7) ez := exp(z) , z \in C . Um Potenzen az mit a > 0, z \in C zu definieren, müssen wir warten, bis das Logarithmus definie rt wird. Als Vorgeschmack lautet die Definition az := ez log a (siehe Definition 4.2.5). 3.4. Potenzreihen.\n\nIntuition: This definition gives precise language for the topic of absolute convergence, product rules, exponential series, and related identities.";"definition sec-3-3 ch-3";"1";"PDF p62; section 3.3. Absolute Konvergenz"
"Define unnamed definition in 3.4 (Def 3.4.1).";"Sei R die Menge der Reihen mit komplexen Gliedern. Eine Potenzreihe ist eine Ab- bildung P : C \to R der Form P(z) = \sum n\ge0 an zn. Die Zahlen an heißen Koeffizienten der Reihe. Gilt an \in R für alle n, so spricht man von einer reellen Potenzreihe P : R \to R, P(x) = \sum n\ge0 an xn. Die Theorie der reellen Potenzreihen ergibt sich aus der Theorie der kom plexen Potenzreihen durch Einschränkung der Variablen z \in C auf R.\n\nIntuition: This definition gives precise language for the topic of power series, abel's convergence lemma, radius of convergence, and sine/cosine series.";"definition sec-3-4 ch-3";"1";"PDF p62; section 3.4. Potenzreihen"
"State Lemma 3.4.2: Abelsches Konvergenzlemma.";"If $|a_n|s^n\le M$ for some $s,M>0$, then $\sum a_nz^n$ converges absolutely for $|z|<s$.\n\nUse: Key step for radius of convergence.";"lemma sec-3-4 ch-3 high-yield abelsches konvergenzlemma";"4";"PDF p62; section 3.4. Potenzreihen"
"State Folgerung 3.4.3: 3.4. Potenzreihen.";"Konvergiert \sum n\ge0 an zn in z0 ̸= 0, so konvergiert sie absolut in B| z0| (0). Im Folgenden setzen wir für eine nach oben nicht beschränkte Menge A: sup A = \infty .\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"folgerung sec-3-4 ch-3";"3";"PDF p62; section 3.4. Potenzreihen"
"State Satz 3.4.4: Konvergenzradius.";"Every power series has a radius $R$ such that it converges absolutely for $|z|<R$ and diverges for $|z|>R$.\n\nUse: Organizes all power-series questions.";"satz sec-3-4 ch-3 high-yield";"4";"PDF p62; section 3.4. Potenzreihen"
"Define Konvergenzradius und BR (Def 3.4.5).";"Die Zahl R aus (3.8) heißt Konvergenzradius und BR(0) heißt Konvergenzscheibe der Potenzreihe. Wir verabreden, dass BR(0) := C, falls R = \infty . Beispiele. (1) Die geometrische Reihe \sum k\ge0 zk. Dann gilt ak = 1 für alle k \in N0. Wir wissen bereits: Für | x| < 1 konvergiert die Reihe absolut und für | x| > 1 divergiert sie. Daraus folgt: R = 1. (2) Exponentialreihe: \sum n\ge0 zn n! . Die Reihe konvergiert für alle z \in C, also R = \infty . 12.12.25 3.4.6. Definition und Satz. Die Cosinus-Reihe und Sinus-Reihe \sum n\ge0 (− 1)n (2n)! z2n , \sum n\ge0 (− 1)n (2n + 1)! z2n+ 1 ANALYSIS I-III, 2011/2013 61 haben Konvergenzradius R = \infty und definieren die Cosinus- und Sinus-Funktion (3.9) cos : C → C , cos z = \infty\sum n= 0 (− 1)n (2n)! z2n , sin : C → C , sin z = \infty\sum n= 0 (− 1)n (2n + 1)! z2n+ 1\n\nIntuition: This definition gives precise language for the topic of power series, abel's convergence lemma, radius of convergence, and sine/cosine series.";"definition sec-3-4 ch-3";"1";"PDF p62; section 3.4. Potenzreihen"
"State Satz 3.4.7: Eulersche Formel.";"Für alle z \in C gilt (3.10) cos z + i sin z = eiz\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-3-4 ch-3 eulersche formel";"3";"PDF p63; section 3.4. Potenzreihen"
"State Satz 3.6.1: Dirichlet-Kriterium.";"Sei (an) eine monoton fallende Nullfolge, und die Folge der Partials um- men von \sum n\ge0 bn sei beschränkt. Dann ist \sum n\ge0 anbn konvergent.\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-3-6 ch-3 dirichlet kriterium";"3";"PDF p66; section 3.6. Notizen"
"State Folgerung 3.6.2: Abelsches Kriterium.";"Sei (an) eine monoton fallende Nullfolge und \sum n\ge0 bn sei konvergent. Dann ist \sum n\ge0 anbn konvergent. Für bn = (− 1)n folgt das Leibniz-Kriterium aus dem Dirichlet-Kriterium. Der Beweis des Dirichlet-Kriteriums ist ganz analog zum Beweis des Leibniz-Kriteriums; dabei be nutzt man die folgende Formel, genannt Abelsche partielle Summation: (3.12) n\sum k= 1 akbk = n− 1\sum k= 1 (ak − ak+ 1)sk + ansn . ANALYSIS I-III, 2011/2013 65 3.6.3. Aufgabe. (i) Beweisen Sie die Abelsche partielle Summation (3.12). (ii) Beweisen Sie das Dirichlet-Kriterium. (iii) Beweisen Sie das Abelsche Kriterium.\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"folgerung sec-3-6 ch-3 abelsches kriterium";"3";"PDF p66; section 3.6. Notizen"
"State Lemma 3.6.4: Kroneckers Lemma.";"Seien (xn) und (yn) zwei Folgen reeller Zahlen, von denen die zweite monoton wachsend ist, nur Zahlen yn > 0 enthält und gegen +\infty divergiert. Dann gilt: \infty\sum i= 1 xi yi konvergent \Rightarrow limn→\infty 1 yn n\sum i= 1 xi = 0 . Notiz zur Umordnungen. Sei \varphi : Z(\ge q) \to Z(\ge q) bijektiv . Die Reihe \sum n\geq a\varphi (n) heißt Umordnung der Reihe \sum n\geq an. Nehmen wir an, dass \sum n\geq an konvergiert. Fragen: Konvergiert \sum n\geq a\varphi (n)? Gegen welchen Wert?\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"lemma sec-3-6 ch-3 kroneckers lemma";"3";"PDF p67; section 3.6. Notizen"
"State Satz 3.6.5: Umordnungssatz.";"Ist \sum n\geq an absolut konvergent, dann ist jede Umordnung \sum n\geq a′ n absolut konvergent und \sum\infty n= q a′ n = \sum\infty n= q an = : s.\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-3-6 ch-3 umordnungssatz";"3";"PDF p67; section 3.6. Notizen"
"State Satz 3.6.6: Riemannscher Umordnungssatz.";"Ist \sum n\geq an konvergent, aber nicht absolut konvergent, und ist a \in R vorgegeben, so gibt es eine Umordnung \sum n\geq a′ n mit \sum\infty n= q a′ n = a. Beispiel: \sum n\ge1 (− 1)n+ 1 n ist konvergent, aber nicht absolut konvergent. Wir setzen s = \sum\infty n= 1 (− 1)n+ 1 n (eigentlich ist s = log 2). Wir können so umordnen, dass die Umordnung \sum n\ge1 a′ n Summe s/2 hat. Notiz zur summierbaren Familien. Sei I eine abzählbare Indexmenge und ( ai)i\in I eine Familie von komple- xen Zahlen. Die Familie ( ai)i\in I heißt summierbar, falls es eine bijektive Abbildung \varphi : N \to I gibt, so dass\sum n\ge1 a\varphi (n) absolut konvergiert. Nach 3.6.5 ist dann \sum n\ge1 a\varphi (n) für jede Bijektion ψ : N \to I absolut konvergent und \sum\infty n= 1 aψ (n) = \sum\infty n= 1 a\varphi (n) = : \sum i\in I ai.\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-3-6 ch-3 riemannscher umordnungssatz";"3";"PDF p67; section 3.6. Notizen"
"State Satz 3.6.7: Großer Umordnungssatz.";"Sei (ai)I eine summierbare Familie und I = \cup n\inN In eine Zerlegung von I. Dann sind auch (ai)i\in In summierbar ,\sum n\ge1 \sum i\in In ai ist absolut konvergent, und \sum i\in I ai = \infty\sum n= 1 \sum i\in In ai .\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-3-6 ch-3 großer umordnungssatz";"3";"PDF p67; section 3.6. Notizen"
"State Satz 3.6.9: Doppelreihensatz.";"(1) Ist (ai, j)(i, j)\inN2 summierbar , so ist für jedes i \in N die Reihe \sum j\ge1 ai j absolut konvergent, und es gilt (3.13) \sum (i, j)\inN2 ai j = \infty\sum i= 1 \infty\sum j= 1 ai j . (2) Ist für jedes i \in N die Reihe \sum j\ge1 ai j absolut konvergent und ist \sum i\ge1 \sum\infty j= 1 | ai j| konvergent, so ist (ai j)(i, j)\inN2 summierbar und es gilt (3.13). 3.6.10. Aufgabe. Betrachte die Familie ( ai j)(i, j)\inN2 definiert durch ai j = 1 falls i = j, ai j = − 1 falls i = j + 1 und ai j = 0 sonst. Berechne \sum\infty i= 1(\sum\infty j= 1 ai j) und \sum\infty j= 1(\sum\infty i= 1 ai j) und zeige, dass ( ai j) nicht summierbar ist.\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-3-6 ch-3 doppelreihensatz";"3";"PDF p67; section 3.6. Notizen"
